Data of Transaction,Description,Amt,Main_Category,Sub_Category
2026-04-02,PRZELEW ZEWNĘTRZNY WYCHODZĄCY MIESZKANIE KWIECIEŃ,3600.0,Fixed Costs,Rent
2026-04-02,PRZELEW NA TWOJE CELE PRZELEW Z RACHUNKU MIESZKANIE KWIECIEŃ,36.0,Smart saver,Smart saver
2026-04-02,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,58.9,Daily Purchase,Biednronka
2026-04-03,ZAKUP PRZY UŻYCIU KARTY ZABKA,13.5,Daily Purchase,Zabka
2026-04-03,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY ZABKA,0.13,Smart saver,Smart saver
2026-04-04,ZAKUP PRZY UŻYCIU KARTY SHELL STACJA,125.4,Transport,Fuel
2026-04-04,ZAKUP PRZY UŻYCIU KARTY KFC,30.5,Eating out,KFC
2026-04-05,PRZELEW ZEWNĘTRZNY WYCHODZĄCY. SPLATA RATY KREDYTU,110.65,Fixed Costs,Debt pay
2026-04-05,PRZELEW NA TWOJE CELE SPLATA RATY KREDYTU,1.11,Smart saver,Smart saver
2026-04-05,ZAKUP PRZY UŻYCIU KARTY LIDL,95.2,Daily Purchase,Lidl
2026-04-06,ZAKUP PRZY UŻYCIU KARTY PIEKARNIA HERT,11.2,Daily Purchase,Piekarnia
2026-04-06,ZAKUP PRZY UŻYCIU KARTY UBER,19.8,Transport,Taxi
2026-04-07,ZAKUP PRZY UŻYCIU KARTY ORLEN,142.1,Transport,Fuel
2026-04-07,ZAKUP PRZY UŻYCIU KARTY KINO CINEMA CITY,46.0,Entertaiment,Cinema
2026-04-08,PRZELEW MTRANSFER WYCHODZACY ORANGE4 ID=,30.0,Fixed Costs,Telephone
2026-04-08,ZAKUP PRZY UŻYCIU KARTY ZABKA,16.5,Daily Purchase,Zabka
2026-04-09,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,27.8,Eating out,MCDONALDS
2026-04-10,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,112.5,Daily Purchase,Biednronka
2026-04-11,ZAKUP PRZY UŻYCIU KARTY SPOTIFY,19.99,Subcription,SPOTIFY
2026-04-11,ZAKUP PRZY UŻYCIU KARTY AUTOMAT Z KAWA,5.2,Eating out,KAWA
2026-04-12,ZAKUP PRZY UŻYCIU KARTY ROSSMANN,58.9,Daily Purchase,Rossmann
2026-04-12,ZAKUP PRZY UŻYCIU KARTY APTEKA,35.4,Daily Purchase,Pharmacy
2026-04-13,ZAKUP PRZY UŻYCIU KARTY STOLOWKA,21.0,Eating out,Restauramt
2026-04-13,ZAKUP PRZY UŻYCIU KARTY SHELL,98.6,Transport,Fuel
2026-04-14,ZAKUP PRZY UŻYCIU KARTY RESTAURACJA,130.0,Eating out,Restauramt
2026-04-14,ZAKUP PRZY UŻYCIU KARTY BOLT,20.5,Transport,Taxi
2026-04-15,ZAKUP PRZY UŻYCIU KARTY ZABKA,14.2,Daily Purchase,Zabka
2026-04-15,ZAKUP PRZY UŻYCIU KARTY LIDL,88.4,Daily Purchase,Lidl
2026-04-16,ZAKUP PRZY UŻYCIU KARTY ORLEN,155.2,Transport,Fuel
2026-04-16,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY ORLEN,1.55,Smart saver,Smart saver
2026-04-17,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,45.6,Daily Purchase,Biednronka
2026-04-17,ZAKUP PRZY UŻYCIU KARTY PIEKARNIA,8.2,Daily Purchase,Piekarnia
2026-04-18,ZAKUP PRZY UŻYCIU KARTY KEBAB,19.5,Eating out,KEBAB
2026-04-18,ZAKUP PRZY UŻYCIU KARTY ZABKA,12.4,Daily Purchase,Zabka
2026-04-19,ZAKUP PRZY UŻYCIU KARTY MEDIA EXPERT,165.0,Technology,MEDIAEXPERT
2026-04-19,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,26.5,Eating out,MCDONALDS
2026-04-20,ZAKUP PRZY UŻYCIU KARTY SHELL,115.8,Transport,Fuel
2026-04-20,ZAKUP PRZY UŻYCIU KARTY PEPCO,38.9,Cloaths,Casual
2026-04-21,ZAKUP PRZY UŻYCIU KARTY LIDL,102.5,Daily Purchase,Lidl
2026-04-21,ZAKUP PRZY UŻYCIU KARTY ZABKA,15.9,Daily Purchase,Zabka
2026-04-22,ZAKUP PRZY UŻYCIU KARTY PKP INTERCITY,48.0,Transport,Trains and Buses
2026-04-22,ZAKUP PRZY UŻYCIU KARTY AUTOMAT,4.5,Eating out,AUTOMAT
2026-04-23,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,62.4,Daily Purchase,Biednronka
2026-04-23,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,0.62,Smart saver,Smart saver
2026-04-24,ZAKUP PRZY UŻYCIU KARTY KFC,32.5,Eating out,KFC
2026-04-24,ZAKUP PRZY UŻYCIU KARTY UBER EATS,40.5,Eating out,Delivery
2026-04-25,ZAKUP PRZY UŻYCIU KARTY ORLEN,128.5,Transport,Fuel
2026-04-25,ZAKUP PRZY UŻYCIU KARTY ZABKA,17.2,Daily Purchase,Zabka
2026-04-26,ZAKUP PRZY UŻYCIU KARTY LIDL,79.5,Daily Purchase,Lidl
2026-04-26,ZAKUP PRZY UŻYCIU KARTY HEBE,48.9,Daily Purchase,Hebe
2026-04-27,ZAKUP PRZY UŻYCIU KARTY H&M,95.0,Cloaths,Casual
2026-04-27,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,31.2,Eating out,MCDONALDS
2026-04-28,ZAKUP PRZY UŻYCIU KARTY SHELL,88.5,Transport,Fuel
2026-04-28,ZAKUP PRZY UŻYCIU KARTY NETFLIX,43.0,Subcription,NETFLIX
2026-04-29,ZAKUP PRZY UŻYCIU KARTY ZABKA,14.5,Daily Purchase,Zabka
2026-04-29,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,54.2,Daily Purchase,Biednronka
2026-04-30,ZAKUP PRZY UŻYCIU KARTY ORLEN,135.6,Transport,Fuel
2026-04-30,ZAKUP PRZY UŻYCIU KARTY PIZZA HUT,72.0,Eating out,Pizza
2026-04-03,ZAKUP PRZY UŻYCIU KARTY LIDL,68.5,Daily Purchase,Lidl
2026-04-07,ZAKUP PRZY UŻYCIU KARTY ZABKA,11.2,Daily Purchase,Zabka
2026-04-11,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,85.4,Daily Purchase,Biednronka
2026-04-14,ZAKUP PRZY UŻYCIU KARTY SHELL,108.9,Transport,Fuel
2026-04-17,ZAKUP PRZY UŻYCIU KARTY KFC,28.5,Eating out,KFC
2026-04-21,ZAKUP PRZY UŻYCIU KARTY LIDL,72.1,Daily Purchase,Lidl
2026-04-24,ZAKUP PRZY UŻYCIU KARTY ORLEN,115.4,Transport,Fuel
2026-04-27,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,24.8,Eating out,MCDONALDS
2026-04-29,ZAKUP PRZY UŻYCIU KARTY ZABKA,13.5,Daily Purchase,Zabka
2026-04-04,ZAKUP PRZY UŻYCIU KARTY PIEKARNIA,9.5,Daily Purchase,Piekarnia
2026-04-08,ZAKUP PRZY UŻYCIU KARTY ROSSMANN,42.1,Daily Purchase,Rossmann
2026-04-12,ZAKUP PRZY UŻYCIU KARTY ORLEN,138.5,Transport,Fuel
2026-04-15,ZAKUP PRZY UŻYCIU KARTY KEBAB,17.8,Eating out,KEBAB
2026-04-19,ZAKUP PRZY UŻYCIU KARTY LIDL,85.6,Daily Purchase,Lidl
2026-04-22,ZAKUP PRZY UŻYCIU KARTY ZABKA,11.8,Daily Purchase,Zabka
2026-04-25,ZAKUP PRZY UŻYCIU KARTY PEPCO,32.5,Cloaths,Casual
