index,Data of Transaction,Description,Amt,Acc Balance after opp,Main_Category,Sub_Category
0,2025-12-01,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY Temu.com,0.97,"5 159,00",Smart saver,Smart saver
1,2025-12-01,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY ALDI SP. Z O.O. 01,0.21,"5 158,79",Smart saver,Smart saver
2,2025-12-01,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY WROCLAWSKI PARK WODN 04,0.11,"5 158,68",Smart saver,Smart saver
3,2025-12-01,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY WROCLAWSKI PARK WODN 06,0.2,"5 158,48",Smart saver,Smart saver
4,2025-12-01,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY VLADIMIR TSYRAN,0.3,"4 687,44",Smart saver,Smart saver
5,2025-12-01,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY PAPERCONCEPT WROCLAW,0.17,"4 687,27",Smart saver,Smart saver
6,2025-12-01,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY CHERRY RESTO SP. Z O.O,1.51,"4 685,76",Smart saver,Smart saver
7,2025-12-01,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY LIDL GRABISZYNSKA,1.76,"4 684,00",Smart saver,Smart saver
8,2025-12-01,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY JMP S.A. BIEDRONKA 6404,0.11,"4 683,89",Smart saver,Smart saver
9,2025-12-01,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY SKLEPMEDIC.PL,0.68,"4 683,21",Smart saver,Smart saver
10,2025-12-02,BLIK P2P-WYCHODZĄCY PRZELEW ŚRODKÓW,15.64,"4 667,57",Online outcomes,BLIK
11,2025-12-02,PRZELEW ZEWNĘTRZNY WYCHODZĄCY TOMASZ SZCZYGIEŁ  MIESZKANIE GRUDZIEŃ,3600.0,"1 067,57",Fixed Costs,Rent
12,2025-12-02,PRZELEW NA TWOJE CELE PRZELEW Z RACHUNKU MIESZKANIE GRUDZIEŃ,36.0,"1 031,57",Smart saver,Smart saver
13,2025-12-02,"PRZELEW ZEWNĘTRZNY WYCHODZĄCY BANK MILLENNIUM S.A., UL. S. ZARYNA 2A, 02-593 WARSZAWA  SPLATA 17/36 RATY KREDYTU RATALNEGO NR 240723ABET",110.65,"920,92",Fixed Costs,Debt pay
14,2025-12-02,PRZELEW NA TWOJE CELE PRZELEW Z RACHUNKU SPLATA 17/36 RATY KREDYTU RATALNEGO,1.11,"919,81",Smart saver,Smart saver
16,2025-12-03,ZAKUP PRZY UŻYCIU KARTY ZABKA Z7559 K.2 /WROCLAW DATA TRANSAKCJI: 2025-12-02,12.4,"1 007,41",Daily Purchase,Zabka
17,2025-12-03,ZAKUP PRZY UŻYCIU KARTY ASVENDING /Wroclaw DATA TRANSAKCJI: 2025-12-02,4.0,"1 003,41",Eating out,AUTOMAT
18,2025-12-03,ZAKUP PRZY UŻYCIU KARTY GOOGLE *Google One /g.co/HelpP DATA TRANSAKCJI: 2025-12-01,8.99,"994,42",Subcription,GOOGLE
19,2025-12-03,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY ZABKA Z7559 K.2,0.12,"994,30",Smart saver,Smart saver
20,2025-12-04,ZAKUP PRZY UŻYCIU KARTY JMP S.A. BIEDRONKA /WROCLAW DATA TRANSAKCJI: 2025-12-03,48.41,"945,89",Daily Purchase,Biednronka
21,2025-12-04,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY JMP S.A. BIEDRONKA 2655,0.48,"945,41",Smart saver,Smart saver
22,2025-12-05,PRZELEW ZEWNĘTRZNY WYCHODZĄCY ANNA SOBIERAJ  PRZELEW ŚRODKÓW,12.0,"933,41",Others,Unclasifided
23,2025-12-05,ZAKUP PRZY UŻYCIU KARTY ZABKA ZB212 K.2 /WROCLAW DATA TRANSAKCJI: 2025-12-04,11.4,"922,01",Daily Purchase,Zabka
